,Breed,Origin,Fédération Cynologique Internationale[3],American Kennel Club[4],Australian National Kennel Council[5],Canadian Kennel Club[6],The Kennel Club[7],New Zealand Kennel Club[8],United Kennel Club[9],Image
148,Clumber Spaniel,United Kingdom (England),Group 08 Section 02 #109,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
149,"Collie, Rough",United Kingdom (Scotland),Group 01 Section 01 #156,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
150,"Collie, Smooth",United Kingdom (Scotland),Group 01 Section 01 #296,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
151,Combai,India,,,,,,,,
152,Cordoba Fighting Dog,Argentina,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
153,Coton de Tulear,Madagascar,Group 09 Section 01 #283,Non-Sporting Group,Group 01 (Toys),"Group 05 - Toys, listed",Toy,Toy,Companion Dog,
154,Cretan Hound,Greece,,,,,,,,
155,Croatian Sheepdog,Croatia,Group 01 Section 01 #277,FSS,,,,,Herding Dog,
156,Cumberland Sheepdog,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
157,Curly-Coated Retriever,United Kingdom (England),Group 08 Section 01 #110,Sporting Group,,Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
158,Cursinu,Corsica (France),,,,,,,,
159,Czechoslovakian Wolfdog,"Czech Republic, Slovakia",Group 01 Section 01 #332,FSS,,,,,Herding Dog,
160,Dachshund,Germany,Group 04 Section 01 #148,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound,
161,Dalbo dog,Sweden,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
162,Dalmatian,Croatia,Group 06 Section 03 #153,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
163,Dandie Dinmont Terrier,United Kingdom (Scotland),Group 03 Section 02 #168,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
164,Danish-Swedish Farmdog,"Denmark, Sweden",Group 02 Section 01 #356 Provisional,FSS,,,,,Terrier,
165,Deutsche Bracke,Germany,Group 06 Section 01 #299,,,,,,Scenthound,
166,Doberman Pinscher,Germany,Group 02 Section 01 #143,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
167,Dogo Argentino,Argentina,Group 02 Section 02 #292,Miscellaneous,,,,,Guardian Dog,
168,Dogo Cubano,Cuba,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
169,Dogue de Bordeaux,France,Group 02 Section 02 #116,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Working,Utility,Guardian Dog,
170,Drentse Patrijshond,Netherlands,Group 07 Section 01 #224,FSS,,,,,Gun Dog,
171,Drever,Sweden,Group 06 Section 01 #130,FSS,,Group 02 - Hounds,,,Scenthound,
172,Dunker,Norway,Group 06 Section 01 #203,,,,,,Scenthound,
173,Dutch Shepherd,Netherlands,Group 01 Section 01 #223,Miscellaneous,Group 05 (Working Dogs),,,Working,Herding Dog,
174,Dutch Smoushond,Netherlands,Group 02 Section 01 #308,,,,,,Terrier,
175,East Siberian Laika,Russia,Group 05 Section 02 #305,,,,,,Northern Breed,
176,East European Shepherd,Russia,,,,,,,,
177,Elo,Germany,,,,,,,,
178,English Cocker Spaniel,United Kingdom (England),Group 08 Section 02 #005,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
179,English Foxhound,United Kingdom (England),Group 06 Section 01 #159,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound,
180,English Mastiff,United Kingdom (England),Group 02 Section 02 #264,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
